PROD_CLR_EQUIV,SALES_QTY,SALES_AMT_FX_RATE
212941_BK,3119.0,28879.3749
217138_RD,848.0,9463.6563
218832_BG,469.0,12828.9509
226424_BU,714.0,3780.1563
214981_PK,1681.0,41348.992
224555_MD,520.0,12355.0432
214231_LL,4088.0,43088.8707
224966_BR,694.0,9665.23
219326_RD,103.0,1079.804
224561_BK,2945.0,22307.5553
212703_FU,764.0,20427.5041
210202_YL,1155.0,11428.4923
217560_GN,7293.0,134094.9396
219708NC,6974.0,141553.621
227148_RO,11.0,125.8269
223746_BR,495.0,5860.3356
221361_BL,93.0,2687.309
216428_GD,644.0,8794.5701
214583_PK,1964.0,50973.1352
211889_IV,4001.0,44833.0162
213920_DM,1337.0,4650.4058
221832_CL,988.0,8497.0571
209265_BK,2844.0,10394.4631
221175NC,3857.0,70307.7408
211549_LL,4443.0,69616.0196
211348_RD,1685.0,29303.5313
212078_BL,4712.0,22682.5926
224970_BK,258.0,6293.7141
209508_SW,7878.0,160383.1122
212042_DM,2647.0,35058.2625
226217_BG,374.0,3971.6662
211156_OR,1530.0,21276.8201
225026_GD,19.0,262.7873
222730NC,515.0,13005.7653
223634_BU,1677.0,41578.4643
206316_DM,4470.0,17223.5999
170732_BL,481.0,3656.6353
224702_BU,1831.0,46856.6971
226971_DM,1945.0,17472.1169
2158960HM,4268.0,24022.374
218892_BL,4523.0,25968.3858
209314_HM,3748.0,19437.5515
212239_GY,380.0,3872.6773
227148_GN,45.0,523.4411
222607_CL,491.0,3851.6382
219358_DM,3525.0,31527.9132
225671_PK,2548.0,21672.023
218382_RO,433.0,2450.3499
210295_BK,15176.0,68861.1233
212717_GY,3198.0,70434.6443
209310_GD,3407.0,19835.8787
216752_DM,3568.0,18692.2202
224639_BK,1873.0,10403.9309
219177_OR,66.0,433.8624
220356_BK,3978.0,103483.0018
214220_TU,7281.0,162294.5389
215133_GD,1396.0,10707.3792
217974_GD,10873.0,83584.456
218736NC,5109.0,81437.5255
211461_BM,4047.0,35963.3565
214370_OW,203.0,4434.1835
223923_SV,2056.0,17141.0509
221284_BM,1864.0,13337.5965
219409_BM,3303.0,13763.2865
220826_BG,1956.0,23334.1035
211832_SK,1774.0,28739.1497
211724_DM,2223.0,8884.993
216572_EC,1698.0,46600.5079
2000030HM,5569.0,28777.6602
221168_BM,4121.0,19942.7387
211123_HM,1677.0,13859.532
217561_GN,1569.0,24777.4744
214227_BL,3749.0,96880.4484
218009_PU,1894.0,13126.9212
221042_WT,5280.0,29673.1726
216859_TU,288.0,10831.2283
215650_SV,2810.0,15559.2806
224772_TL,1512.0,8674.6569
226381_MI,39.0,437.4866
217532_BK,3374.0,85639.2885
217401_SV,6226.0,33928.5404
215457_BM,4526.0,67538.1237
1966531BL,7954.0,43428.7288
209485_GD,873.0,6247.4633
1328502PM,4154.0,31755.6427
218081_RD,370.0,10717.4895
218154_KK,1271.0,9160.9101
221875_BM,11943.0,259870.9104
218021_BK,3348.0,86666.3808
213600_RD,3128.0,71866.388
213915_DM,979.0,5156.1018
222955_TU,3076.0,87799.6643
219607NC,5477.0,90752.6873
222225_BK,2607.0,32897.9696
211642_GD,984.0,3693.0821
216880_RD,4831.0,47501.6935
224997_BL,139.0,1035.2469
204781_BL,3653.0,19265.909
219304_BM,1661.0,10997.4454
210347_OR,5709.0,45037.7098
212563_GN,5447.0,27360.3099
210595_GN,655.0,21127.0939
224434_CA,113.0,2675.2734
1696201WT,5630.0,35329.3776
210320_BM,6380.0,32493.2408
227043_DB,1987.0,10970.7645
222350_LM,1837.0,47914.3055
216882_LK,3599.0,24783.1075
215499_HM,4708.0,24666.6521
209638_WT,197.0,5652.9861
222581_DM,1857.0,13570.9766
1965582BM,4033.0,18308.1693
211253_HM,2998.0,16437.0403
227276_BK,1035.0,40215.699
216496_BU,241.0,4982.9208
216561_BK,8351.0,221254.9327
210350_NV,5119.0,43367.7867
226678_BM,240.0,1834.1301
211911_WT,194.0,1815.994
2206170BM,1837.0,17513.3248
