product_id,sim_1_id,sim_1_score,sim_2_id,sim_2_score,sim_3_id,sim_3_score,sim_4_id,sim_4_score
140486_BM,211437_BM,0.9310481548309326,217548_BM,0.9271252155303955,221575_BM,0.9232950210571289,140486_HM,0.9232690334320068
140486_HM,140486_BM,0.9232690334320068,217127_HM,0.9220799803733826,217128_HM,0.9130017161369324,217548_BM,0.906405508518219
140486_NV,221453_BM,0.8719580769538879,216299_PE,0.8678479790687561,221540_RD,0.8668795824050903,221555_WT,0.8655178546905518
145869_BL,214137_BL,0.9287698864936829,201867_BL,0.9178975820541382,214246_BL,0.9100987911224365,214146_BL,0.9090127348899841
149404_DM,219267_DM,0.8536505103111267,219262_DM,0.8508937358856201,166660_DM,0.8292872905731201,214676_HM,0.8286538124084473
150771_ID,211958_ID,0.9011430740356445,211990_ID,0.8985311985015869,201884_ID,0.8895130753517151,211977_TL,0.8811095356941223
151833_BL,209725_BB,0.9534085988998413,166363_PU,0.924426794052124,157372_VT,0.9238580465316772,209721_NV,0.9169818758964539
151833_LM,166363_CE,0.9453639388084412,166354_ID,0.943648099899292,166363_AQ,0.9384968876838684,209725_BB,0.9330782890319824
151833_LU,166363_CE,0.9353222846984863,151833_LM,0.9272600412368774,151833_RO,0.9221341609954834,209726_LL,0.9157541990280151
151833_PP,151833_RO,0.8913239240646362,151833_LM,0.88288414478302,166360_DY,0.8799516558647156,166354_ID,0.8779264688491821
151833_RO,151833_LU,0.9221341609954834,151833_LM,0.9182126522064209,166363_CE,0.9163593053817749,166354_ID,0.9144185781478882
151833_TQ,209725_BB,0.9271255731582642,166363_AQ,0.9187642335891724,151833_LM,0.9156185388565063,166354_ID,0.9126107692718506
153795_NM,209664_HM,0.8464590311050415,209717_GD,0.8381308317184448,209668_GD,0.8323141932487488,221553_GD,0.8301852941513062
156605_DM,218869_DM,0.9574404954910278,219024_HM,0.8997185230255127,219023_BL,0.8995828628540039,218926_GN,0.8928930163383484
157372_MA,166363_PU,0.929733157157898,209726_LL,0.9238437414169312,166363_CE,0.9205983877182007,157372_VT,0.9178460240364075
157372_VT,166363_PU,0.9539989233016968,209726_LL,0.943122148513794,166363_LL,0.9329644441604614,151833_LM,0.9309452772140503
158685_MT,205683_RY,0.8746622800827026,206296_ID,0.8735942244529724,176036_TQ,0.8728086948394775,218516_PU,0.8721392154693604
158685_OX,214115_MI,0.8863176107406616,214141_MI,0.8722630143165588,215917_MI,0.8550031185150146,181666_MI,0.8417280316352844
158816_LN,216832_HM,0.8692219257354736,217413_HM,0.8637135028839111,212974_HM,0.8563128113746643,197623_TL,0.8542107939720154
160035_FU,204972_LK,0.8707448244094849,204971_OR,0.8665565252304077,182252_RD,0.8627613186836243,204972_PU,0.858177661895752
162651_MI,166730_MI,0.9522342681884766,197610_MI,0.947964072227478,170732_MI,0.9296115636825562,197623_MI,0.923164427280426
162651_TQ,172276_TQ,0.9092433452606201,162858_GN,0.884454607963562,201867_GN,0.8842818737030029,212528_DN,0.8652756214141846
162858_BK,211762_OR,0.9135249257087708,213914_PU,0.9128206372261047,211728_DM,0.90962815284729,211666_PU,0.9078109264373779
162858_GN,201867_GN,0.9521660208702087,212482_GN,0.9118107557296753,212529_GN,0.9047174453735352,212528_DN,0.8971625566482544
163494_LU,215109_BU,0.8542196154594421,214234_BU,0.8374955654144287,215108_BM,0.8259708285331726,214020_BL,0.8247922658920288
163517_BK,201841_BK,0.8666316270828247,213072_BK,0.8592649698257446,213137_BK,0.8590810894966125,213076_BK,0.8575655221939087
166354_ID,151833_LM,0.943648099899292,166363_AQ,0.9375666975975037,166363_CE,0.9231961965560913,157372_VT,0.9224449396133423
166354_TG,151833_LM,0.9256557822227478,166363_AQ,0.9154320955276489,166363_KK,0.912405252456665,166363_CE,0.9068014621734619
166359_SA,166363_AQ,0.8642919659614563,151833_PP,0.8603731393814087,151833_RO,0.8598264455795288,166354_ID,0.858724057674408
166360_DY,151833_LM,0.8854624032974243,151833_LU,0.8813109397888184,151833_PP,0.8799516558647156,166354_TG,0.879656970500946
166360_FU,157372_MA,0.9171053171157837,166363_PU,0.909203290939331,151833_LM,0.9071801900863647,209726_LL,0.9062330722808838
166363_AQ,151833_LM,0.9384968876838684,166354_ID,0.9375666975975037,166363_CE,0.9281433820724487,209725_BB,0.9203310608863831
166363_CE,151833_LM,0.9453639388084412,166363_PU,0.9366863369941711,151833_LU,0.9353222846984863,209726_LL,0.9333873987197876
166363_KK,151833_LM,0.9291155338287354,166363_CE,0.9187337160110474,166363_PU,0.9125065803527832,166354_TG,0.912405252456665
166363_LL,209726_LL,0.9587013721466064,157372_VT,0.9329644441604614,166363_PU,0.9033153653144836,151833_LM,0.896560549736023
166363_PU,157372_VT,0.9539989233016968,209726_LL,0.9415582418441772,166363_CE,0.9366863369941711,151833_LM,0.930446445941925
166660_DM,219301_DM,0.8935537934303284,219293_DM,0.890562891960144,171613_DM,0.8887819051742554,219362_DM,0.8869825601577759
166730_BR,162858_BK,0.8851122856140137,213933_BR,0.884284496307373,211667_GN,0.8800548315048218,211770_DM,0.8766037225723267
166730_FG,217483_FG,0.9285610914230347,217462_FG,0.928030252456665,217479_FG,0.8885944485664368,217477_DN,0.8634800314903259
166730_IV,216254_IV,0.9616862535476685,221180_IV,0.9612308740615845,201255_IV,0.9466884136199951,217671_IV,0.9455016851425171
166730_MI,162651_MI,0.9522342681884766,210412_MI,0.9446988701820374,214405_MI,0.9430592060089111,170732_MI,0.9371508359909058
166730_NV,214055_NV,0.8971732258796692,210333_NV,0.8882889747619629,210347_NV,0.8799176812171936,203410_NV,0.8755809664726257
166730_OR,210329_OR,0.9193344116210938,168373_OR,0.8962036967277527,210300_PH,0.8921007513999939,212083_OR,0.8919929265975952
166912_SV,204814_SV,0.922947883605957,223879_SV,0.9219261407852173,223885_SV,0.9206632971763611,223900_SV,0.9162395000457764
167657_LB,177781_LB,0.9008992910385132,207791_LB,0.8956167697906494,210343_LB,0.8617390394210815,210296_LB,0.8314226865768433
167718_BU,214234_BU,0.8963863253593445,169597_TL,0.8832324743270874,210347_NV,0.8657392859458923,215109_BU,0.8577574491500854
168373_OR,210329_OR,0.9176461696624756,210347_OR,0.9095088243484497,212083_OR,0.9040513038635254,212085_OR,0.903725266456604
168799_BM,209674_BM,0.9198107719421387,217548_BM,0.9137128591537476,216281_BM,0.9061027765274048,209678_BM,0.9046759009361267
169597_FU,178752_FU,0.9173518419265747,207791_FU,0.9115292429924011,210328_FU,0.9004561305046082,210303_FU,0.8987610340118408
169597_LL,210349_LL,0.9568619728088379,210305_LL,0.912173867225647,210321_LL,0.8924218416213989,201255_LL,0.8800725936889648
169597_TL,210333_TL,0.8948235511779785,215112_TL,0.8879529237747192,167718_BU,0.8832324743270874,210347_NV,0.8819639086723328
169607_IG,169597_LL,0.8663284778594971,210349_LL,0.8542541861534119,210347_OR,0.8535904884338379,177781_LB,0.8408204317092896
169607_PE,210330_WT,0.8580232858657837,169614_WT,0.8564411401748657,168373_OR,0.8449486494064331,169597_LL,0.8447749614715576
169614_WT,210330_WT,0.8894781470298767,210351_BM,0.8853835463523865,210304_WT,0.8811603784561157,210327_WT,0.8711662292480469
169620_AQ,221882_AQ,0.9029717445373535,221923_AQ,0.8937904834747314,221809_AQ,0.883380651473999,210347_TG,0.8776016235351562
169620_NV,178752_NV,0.910860002040863,210303_NV,0.8915616273880005,210350_NV,0.8847970962524414,210319_NV,0.8835591077804565
169620_OR,221144_BM,0.8794760704040527,170874_BM,0.8611490726470947,221146_BM,0.8600254654884338,221160_BM,0.8595268130302429
169622_AU,205683_RO,0.855811357498169,169622_NV,0.802704930305481,210295_TL,0.7910822629928589,197623_TL,0.7889811992645264
169622_DM,214147_DM,0.8678779602050781,214145_GY,0.7998398542404175,208293_DM,0.7992849349975586,181831_RO,0.7923471927642822
169622_FG,169622_KK,0.8954112529754639,206296_FG,0.8648185133934021,212675_KK,0.8601874113082886,217462_FG,0.8440842628479004
169622_IV,216336_IV,0.9421674609184265,215993_IV,0.9344370365142822,215911_IV,0.9339489936828613,217692_IV,0.932502269744873
169622_KK,212675_KK,0.8973166346549988,169622_FG,0.8954112529754639,217453_HM,0.8168288469314575,217490_GD,0.7957015037536621
169622_LL,218516_PU,0.8477491140365601,218474_DG,0.8420472145080566,158685_MT,0.8368962407112122,220489_OR,0.8357926607131958
169622_NV,210333_NV,0.9286565780639648,169622_TL,0.8935896754264832,212078_NV,0.8853117227554321,214050_BM,0.8679533004760742
169622_TL,169622_NV,0.8935896754264832,210333_TL,0.8931432962417603,214050_BM,0.87931227684021,215112_TL,0.8401889801025391
169628_PH,210300_PH,0.8893868923187256,199935_PH,0.8789553642272949,168373_OR,0.8747695088386536,210327_PH,0.8746247291564941
170562_BU,216667_BU,0.8896559476852417,201255_MN,0.878056526184082,216715_MI,0.8746798634529114,216666_BU,0.8701600432395935
170562_LK,206296_BU,0.8782665133476257,212697_HM,0.8668917417526245,214159_BM,0.853234052658081,176036_PH,0.8518295884132385
170729_DN,212521_LB,0.8823031187057495,193642_BK,0.8372584581375122,212480_BM,0.8341290950775146,212474_HM,0.8308556079864502
170732_BL,224984_BL,0.91782546043396,225040_BL,0.9177343845367432,205683_BL,0.9172660708427429,215896_BL,0.9079869389533997
170732_DM,216722_DM,0.9257040619850159,216706_DM,0.9131008982658386,218939_DM,0.9120745658874512,216698_DM,0.9010099172592163
170732_MI,166730_MI,0.9371508359909058,216655_MI,0.9308278560638428,162651_MI,0.9296115636825562,210412_MI,0.9292276501655579
170874_BM,221146_BM,0.9308043718338013,221144_BM,0.9191585779190063,221241_BM,0.918091893196106,221297_BM,0.9109026193618774
170938_IV,220872_IV,0.9547178745269775,221015_IV,0.9545634984970093,216245_IV,0.9432010054588318,216328_IV,0.9406204223632812
170938_RO,218381_RO,0.9637221097946167,218311_RO,0.9550703167915344,218423_RO,0.895545244216919,218337_HM,0.8937365412712097
171467_NV,214055_NV,0.89717698097229,203410_NV,0.8713324069976807,214043_BM,0.8702425956726074,210347_NV,0.8625396490097046
171613_DM,166660_DM,0.8887819051742554,194057_DM,0.866193413734436,219293_DM,0.8656555414199829,219346_DM,0.8644191026687622
172044_NV,166730_MI,0.8914200663566589,162651_MI,0.8882180452346802,197610_MI,0.8696476221084595,210412_MI,0.868477463722229
172276_PP,222998_PM,0.8703396916389465,211994_TG,0.8566516637802124,223067_GD,0.8465280532836914,223122_GD,0.8450088500976562
172276_TQ,162651_TQ,0.9092433452606201,212528_DN,0.8772093057632446,201867_GN,0.8693703413009644,162858_GN,0.8672972917556763
174202_HM,205788_HM,0.9047245979309082,217199_HM,0.8917807340621948,216933_HM,0.8895983695983887,211117_HM,0.8669368028640747
176036_DN,217475_DN,0.9261929988861084,217477_DN,0.9251618385314941,183569_GN,0.9174931645393372,217475_TG,0.8919969797134399
176036_PH,212733_BU,0.8576273918151855,213366_HM,0.8534585237503052,212685_HM,0.852412223815918,170562_LK,0.8518295884132385
176036_TQ,217483_BM,0.8948472738265991,205683_RY,0.888851523399353,206255_BM,0.8850749731063843,201255_NV,0.882299542427063
177043_MM,215957_GD,0.879182755947113,209183_GD,0.8770989179611206,216248_GD,0.8682422637939453,209865_GD,0.8662923574447632
177781_LB,207791_LB,0.9671661853790283,167657_LB,0.9008992910385132,210343_LB,0.895409107208252,212078_BL,0.8857381939888
177781_PU,177781_TQ,0.9187881946563721,220314_PU,0.9184536933898926,220019_BM,0.8750932216644287,220320_BM,0.871539294719696
177781_TQ,177781_PU,0.9187881946563721,219973_BL,0.8974948525428772,196555_TQ,0.894448459148407,220019_BM,0.8881306052207947
178054_IV,216088_IV,0.9647810459136963,221023_IV,0.949824333190918,216322_IV,0.9482154250144958,216247_IV,0.9464905261993408
178752_FU,169597_FU,0.9173518419265747,210328_FU,0.8753454089164734,207791_FU,0.8706722259521484,210295_FU,0.8635683655738831
178752_NV,169620_NV,0.910860002040863,210319_NV,0.8702788949012756,210332_NV,0.8679415583610535,210350_NV,0.8669486045837402
178757_BM,221146_BM,0.9279026389122009,221297_BM,0.9191638231277466,221164_BM,0.9175177812576294,221144_BM,0.9126243591308594
179550_GD,211160_GD,0.9408001899719238,211268_GD,0.9313737750053406,211176_GD,0.9309120774269104,211159_GD,0.9145532250404358
179566_GD,211190_GD,0.9568625688552856,211257_GD,0.9485752582550049,179566_SV,0.9294983148574829,211068_GD,0.9270727038383484
179566_SV,211257_GD,0.9315029382705688,179566_GD,0.9294983148574829,211190_GD,0.928300678730011,211068_GD,0.9085100889205933
180460_NV,203410_NV,0.8711729049682617,203374_NV,0.8664357662200928,214055_NV,0.8579988479614258,214017_BL,0.8549041152000427
181666_BL,214146_BL,0.94825279712677,214137_BL,0.9287432432174683,214145_BL,0.927186131477356,201867_BL,0.9166269898414612
181666_MI,214115_MI,0.9270259141921997,214141_MI,0.899726152420044,215917_MI,0.8923508524894714,214145_MI,0.8769176602363586
181666_RO,181831_RO,0.8659727573394775,214145_GY,0.8306329250335693,214141_GN,0.8038336038589478,214137_GN,0.7980773448944092
181831_GN,214125_GN,0.9089059233665466,214471_GN,0.90613853931427,145869_BL,0.8592292070388794,214147_BM,0.8432134985923767
181831_RO,181666_RO,0.8659727573394775,214147_DM,0.8516044616699219,214141_GN,0.8130907416343689,218318_RO,0.8087457418441772
182252_RD,221540_RD,0.9053601026535034,204972_LK,0.8828107714653015,217548_BM,0.878361701965332,209694_PK,0.8722842335700989
183569_GN,176036_DN,0.9174931645393372,217475_DN,0.8772846460342407,217477_DN,0.8752864599227905,217475_TG,0.8683726787567139
185129_HM,211180_HM,0.8868027925491333,211272_HM,0.8837825059890747,211081_HM,0.8823363184928894,211262_HM,0.8820642232894897
186745_HM,211200_HM,0.9343307614326477,211090_HM,0.9208143949508667,211206_HM,0.9168977737426758,211262_HM,0.9098637104034424
187477_DM,216722_DM,0.922778844833374,216706_DM,0.918838620185852,216683_DM,0.9152836799621582,216674_DM,0.9142783880233765
187622_BM,210324_BM,0.960373044013977,210341_BM,0.9384381771087646,210339_BM,0.9375965595245361,210299_BM,0.9344255924224854
187623_BM,207808_PK,0.881980836391449,218525_BM,0.8599046468734741,218359_BM,0.8541853427886963,218624_BM,0.8520591855049133
187895_HM,211270_HM,0.90578293800354,203236_HM,0.9048616290092468,211313_HM,0.8954501152038574,211271_HM,0.8878796696662903
187896_BM,210299_BM,0.9614496827125549,210314_BM,0.961379885673523,210342_BM,0.9548301100730896,210339_BM,0.9545881748199463
187998_DM,211727_DM,0.9379786849021912,213913_DM,0.9269024133682251,195997_DM,0.9246851801872253,211770_DM,0.9244821667671204
188088_BK,213082_BK,0.9484544396400452,213076_BK,0.9457293152809143,212509_BK,0.9256924390792847,213080_BK,0.9216334223747253
188665_BM,221904_BM,0.9169869422912598,222050_BM,0.9064303040504456,222006_BM,0.9001367688179016,222063_BM,0.8949594497680664
188665_HM,211981_HM,0.9395575523376465,211992_HM,0.9022959470748901,208434_HM,0.90048748254776,211953_HM,0.8970144987106323
188666_PU,213778_PU,0.9136700630187988,197623_PU,0.8812459707260132,213804_PU,0.8792934417724609,213823_HM,0.8696808815002441
189875_HM,211262_HM,0.959057092666626,211209_HM,0.9495924115180969,211180_HM,0.9472603797912598,211090_HM,0.9451281428337097
191058_BL,224988_BL,0.9256173968315125,224987_BL,0.9255911111831665,218926_BL,0.9159376621246338,224992_BL,0.9049689173698425
191116_DM,216697_DM,0.9347031116485596,216752_DM,0.9060639142990112,216720_DM,0.8824433088302612,206263_DM,0.8793944120407104
191405_GD,209324_GD,0.9570469856262207,211776_GD,0.9471100568771362,215647_GD,0.9415555000305176,221084_GD,0.9397467970848083
191405_MI,216655_MI,0.8793377876281738,214528_MI,0.877081573009491,214407_MI,0.8740971088409424,209010_MI,0.8729286193847656
191734_BM,214066_BM,0.8939914107322693,214063_BM,0.8884017467498779,215113_BM,0.8855903744697571,214050_BM,0.8805164098739624
192346_BK,212653_BK,0.989078938961029,208203_EC,0.946029782295227,224922_BK,0.9361897706985474,208952_EC,0.9347725510597229
192346_EC,212653_WT,0.9587679505348206,221926_EC,0.9400416016578674,208203_EC,0.93375164270401,224922_WT,0.9333598613739014
192473_BL,214016_BM,0.8813570737838745,214526_MI,0.8609998226165771,215112_TL,0.8609718084335327,214017_BL,0.858594536781311
192960_MM,223901_SV,0.9319002628326416,223859_SV,0.9244523048400879,223861_SV,0.9234769940376282,204711_SV,0.9220210313796997
193076_PU,211666_PU,0.8937233686447144,211764_GN,0.8891469240188599,162858_BK,0.8867098093032837,213914_PU,0.8855187892913818
193166_BK,206296_RD,0.8709076642990112,212561_RD,0.8538501262664795,172276_TQ,0.8472599983215332,212532_GD,0.8442568778991699
193166_BR,214202_MI,0.8795080184936523,212982_GN,0.8794456720352173,209284_HM,0.8787857294082642,215991_HM,0.8769336938858032
193642_BK,212521_LB,0.85603266954422,170729_DN,0.8372584581375122,212532_GD,0.836296796798706,211675_BK,0.8293344974517822
193709_BM,220320_BM,0.9545142650604248,220036_BM,0.9337232112884521,220323_BM,0.9272685050964355,220321_BM,0.9260363578796387
193709_CL,221815_CL,0.8958531618118286,221890_CL,0.8896069526672363,221888_CL,0.8825509548187256,221884_CL,0.8789978623390198
193709_LB,220393_BL,0.8735190629959106,220035_BL,0.8713327050209045,220424_BL,0.8595333695411682,201867_GN,0.8527512550354004
194057_DM,208293_DM,0.8794131875038147,166660_DM,0.8710414171218872,219331_DM,0.869964599609375,171613_DM,0.866193413734436
194061_DM,213818_HM,0.9161603450775146,211721_DM,0.8913967609405518,211722_DM,0.8896605968475342,213826_HM,0.8805072903633118
