PC,explained_variance_ratio,cumulative_variance_ratio
PC1,0.2001128436680924,0.2001128436680924
PC2,0.16348812258852105,0.3636009662566134
PC3,0.0853648048761707,0.44896577113278413
PC4,0.07365426711715968,0.5226200382499439
PC5,0.057605845510057124,0.580225883760001
PC6,0.04455682527701005,0.624782709037011
PC7,0.03977574350597794,0.664558452542989
PC8,0.03411682114660452,0.6986752736895935
PC9,0.0334076530437653,0.7320829267333587
PC10,0.030185743276356203,0.762268670009715
